Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-03-24,Alabama,AL,3.637,4.082,4.492,5.165
2026-03-24,Alaska,AK,4.536,4.776,4.989,5.494
2026-03-24,Arizona,AZ,4.609,4.997,5.309,5.715
2026-03-24,Arkansas,AR,3.403,3.835,4.184,4.811
2026-03-24,California,CA,5.822,6.047,6.241,7.018
2026-03-24,Colorado,CO,3.918,4.313,4.65,4.96
2026-03-24,Connecticut,CT,3.921,4.425,4.84,5.757
2026-03-24,Delaware,DE,3.798,4.383,4.671,5.524
2026-03-24,District of Columbia,DC,4.091,4.694,5.078,5.55
2026-03-24,Florida,FL,3.92,4.356,4.689,5.527
2026-03-24,Georgia,GA,3.651,4.109,4.526,5.158
2026-03-24,Hawaii,HI,5.28,5.454,5.71,6.371
2026-03-24,Idaho,ID,4.172,4.447,4.702,5.317
2026-03-24,Illinois,IL,4.208,4.786,5.253,5.164
2026-03-24,Indiana,IN,3.979,4.489,4.968,5.118
2026-03-24,Iowa,IA,3.312,3.523,4.162,4.84
2026-03-24,Kansas,KS,3.276,3.59,3.928,4.559
2026-03-24,Kentucky,KY,3.741,4.278,4.717,5.029
2026-03-24,Louisiana,LA,3.593,4.001,4.402,5.009
2026-03-24,Maine,ME,3.837,4.386,4.865,5.673
2026-03-24,Maryland,MD,3.968,4.501,4.833,5.564
2026-03-24,Massachusetts,MA,3.768,4.329,4.718,5.603
2026-03-24,Michigan,MI,4.007,4.56,5.117,5.03
2026-03-24,Minnesota,MN,3.447,3.88,4.371,4.899
2026-03-24,Mississippi,MS,3.561,3.997,4.381,5.023
2026-03-24,Missouri,MO,3.439,3.851,4.155,4.608
2026-03-24,Montana,MT,3.632,3.945,4.273,4.7
2026-03-24,Nebraska,NE,3.371,3.55,4.025,4.619
2026-03-24,Nevada,NV,4.814,5.125,5.413,5.68
2026-03-24,New Hampshire,NH,3.747,4.291,4.758,5.582
2026-03-24,New Jersey,NJ,3.885,4.39,4.663,5.604
2026-03-24,New Mexico,NM,3.816,4.243,4.561,5.083
2026-03-24,New York,NY,3.896,4.385,4.781,5.638
2026-03-24,North Carolina,NC,3.766,4.219,4.61,5.433
2026-03-24,North Dakota,ND,3.435,3.757,4.202,4.618
2026-03-24,Ohio,OH,3.828,4.354,4.864,5.038
2026-03-24,Oklahoma,OK,3.263,3.682,3.968,4.503
2026-03-24,Oregon,OR,4.871,5.085,5.375,5.93
2026-03-24,Pennsylvania,PA,3.953,4.37,4.754,5.811
2026-03-24,Rhode Island,RI,3.791,4.426,4.844,5.561
2026-03-24,South Carolina,SC,3.675,4.111,4.515,5.329
2026-03-24,South Dakota,SD,3.388,3.57,4.069,4.633
2026-03-24,Tennessee,TN,3.65,4.109,4.508,5.269
2026-03-24,Texas,TX,3.62,4.091,4.47,4.952
2026-03-24,Utah,UT,4.02,4.284,4.542,5.369
2026-03-24,Vermont,VT,3.898,4.337,4.805,5.716
2026-03-24,Virginia,VA,3.879,4.342,4.716,5.425
2026-03-24,Washington,WA,5.291,5.523,5.786,6.493
2026-03-24,West Virginia,WV,3.78,4.213,4.65,5.287
2026-03-24,Wisconsin,WI,3.671,4.158,4.75,4.862
2026-03-24,Wyoming,WY,3.759,4.058,4.373,4.917
2026-03-25,Alabama,AL,3.64,4.079,4.496,5.177
2026-03-25,Alaska,AK,4.559,4.783,5.0,5.527
2026-03-25,Arizona,AZ,4.623,5.015,5.329,5.805
2026-03-25,Arkansas,AR,3.399,3.85,4.194,4.809
2026-03-25,California,CA,5.831,6.069,6.259,7.072
2026-03-25,Colorado,CO,3.914,4.313,4.644,4.953
2026-03-25,Connecticut,CT,3.931,4.464,4.857,5.796
2026-03-25,Delaware,DE,3.831,4.401,4.706,5.639
2026-03-25,District of Columbia,DC,4.108,4.651,5.078,5.589
2026-03-25,Florida,FL,3.901,4.344,4.679,5.52
2026-03-25,Georgia,GA,3.635,4.106,4.52,5.149
2026-03-25,Hawaii,HI,5.32,5.48,5.759,6.437
2026-03-25,Idaho,ID,4.215,4.482,4.743,5.393
2026-03-25,Illinois,IL,4.228,4.806,5.278,5.171
2026-03-25,Indiana,IN,4.075,4.574,5.066,5.172
2026-03-25,Iowa,IA,3.31,3.516,4.142,4.847
2026-03-25,Kansas,KS,3.278,3.603,3.925,4.556
2026-03-25,Kentucky,KY,3.745,4.291,4.73,5.036
2026-03-25,Louisiana,LA,3.594,4.019,4.409,5.018
2026-03-25,Maine,ME,3.834,4.383,4.864,5.682
2026-03-25,Maryland,MD,3.996,4.544,4.88,5.653
2026-03-25,Massachusetts,MA,3.777,4.35,4.737,5.623
2026-03-25,Michigan,MI,4.06,4.611,5.17,5.087
2026-03-25,Minnesota,MN,3.445,3.872,4.363,4.897
2026-03-25,Mississippi,MS,3.564,3.995,4.384,5.028
2026-03-25,Missouri,MO,3.436,3.864,4.158,4.613
2026-03-25,Montana,MT,3.681,4.012,4.334,4.746
2026-03-25,Nebraska,NE,3.372,3.56,4.011,4.615
2026-03-25,Nevada,NV,4.831,5.148,5.437,5.738
2026-03-25,New Hampshire,NH,3.75,4.288,4.758,5.605
2026-03-25,New Jersey,NJ,3.883,4.395,4.671,5.654
2026-03-25,New Mexico,NM,3.796,4.221,4.539,5.088
2026-03-25,New York,NY,3.917,4.406,4.793,5.687
2026-03-25,North Carolina,NC,3.775,4.227,4.621,5.463
2026-03-25,North Dakota,ND,3.434,3.794,4.184,4.619
2026-03-25,Ohio,OH,3.906,4.416,4.929,5.068
2026-03-25,Oklahoma,OK,3.265,3.682,3.967,4.504
2026-03-25,Oregon,OR,4.871,5.102,5.383,5.951
2026-03-25,Pennsylvania,PA,3.953,4.377,4.76,5.85
2026-03-25,Rhode Island,RI,3.788,4.453,4.858,5.586
2026-03-25,South Carolina,SC,3.682,4.121,4.524,5.344
2026-03-25,South Dakota,SD,3.412,3.605,4.068,4.626
2026-03-25,Tennessee,TN,3.643,4.107,4.51,5.286
2026-03-25,Texas,TX,3.614,4.091,4.468,4.949
2026-03-25,Utah,UT,4.041,4.304,4.559,5.399
2026-03-25,Vermont,VT,3.905,4.373,4.821,5.723
2026-03-25,Virginia,VA,3.889,4.357,4.73,5.451
2026-03-25,Washington,WA,5.298,5.541,5.795,6.528
2026-03-25,West Virginia,WV,3.806,4.234,4.681,5.341
2026-03-25,Wisconsin,WI,3.665,4.156,4.751,4.866
2026-03-25,Wyoming,WY,3.775,4.074,4.397,4.927
2026-03-26,Alabama,AL,3.639,4.074,4.487,5.197
2026-03-26,Alaska,AK,4.571,4.824,5.035,5.546
2026-03-26,Arizona,AZ,4.632,5.024,5.34,5.814
2026-03-26,Arkansas,AR,3.396,3.857,4.199,4.804
2026-03-26,California,CA,5.843,6.082,6.273,7.12
2026-03-26,Colorado,CO,3.91,4.31,4.636,4.935
2026-03-26,Connecticut,CT,3.932,4.478,4.872,5.807
2026-03-26,Delaware,DE,3.856,4.441,4.733,5.686
2026-03-26,District of Columbia,DC,4.106,4.73,5.085,5.604
2026-03-26,Florida,FL,3.879,4.323,4.659,5.508
2026-03-26,Georgia,GA,3.619,4.081,4.503,5.128
2026-03-26,Hawaii,HI,5.332,5.518,5.771,6.454
2026-03-26,Idaho,ID,4.254,4.522,4.781,5.47
2026-03-26,Illinois,IL,4.237,4.82,5.293,5.173
2026-03-26,Indiana,IN,4.072,4.598,5.087,5.21
2026-03-26,Iowa,IA,3.314,3.543,4.14,4.867
2026-03-26,Kansas,KS,3.273,3.607,3.923,4.548
2026-03-26,Kentucky,KY,3.738,4.283,4.716,5.03
2026-03-26,Louisiana,LA,3.592,4.026,4.42,5.025
2026-03-26,Maine,ME,3.835,4.393,4.866,5.691
2026-03-26,Maryland,MD,3.998,4.565,4.894,5.7
2026-03-26,Massachusetts,MA,3.777,4.36,4.749,5.643
2026-03-26,Michigan,MI,4.048,4.631,5.188,5.095
2026-03-26,Minnesota,MN,3.437,3.858,4.353,4.887
2026-03-26,Mississippi,MS,3.566,3.994,4.381,5.042
2026-03-26,Missouri,MO,3.429,3.851,4.158,4.617
2026-03-26,Montana,MT,3.699,4.027,4.347,4.758
2026-03-26,Nebraska,NE,3.38,3.577,4.04,4.619
2026-03-26,Nevada,NV,4.861,5.173,5.454,5.843
2026-03-26,New Hampshire,NH,3.75,4.278,4.754,5.61
2026-03-26,New Jersey,NJ,3.88,4.398,4.674,5.681
2026-03-26,New Mexico,NM,3.8,4.228,4.532,5.104
2026-03-26,New York,NY,3.92,4.41,4.796,5.718
2026-03-26,North Carolina,NC,3.769,4.219,4.615,5.47
2026-03-26,North Dakota,ND,3.437,3.799,4.183,4.594
2026-03-26,Ohio,OH,3.897,4.426,4.936,5.083
2026-03-26,Oklahoma,OK,3.256,3.671,3.954,4.498
2026-03-26,Oregon,OR,4.86,5.107,5.383,5.958
2026-03-26,Pennsylvania,PA,3.95,4.378,4.766,5.874
2026-03-26,Rhode Island,RI,3.802,4.46,4.854,5.615
2026-03-26,South Carolina,SC,3.672,4.115,4.517,5.349
2026-03-26,South Dakota,SD,3.41,3.595,4.071,4.635
2026-03-26,Tennessee,TN,3.636,4.099,4.506,5.292
2026-03-26,Texas,TX,3.606,4.079,4.455,4.943
2026-03-26,Utah,UT,4.165,4.428,4.678,5.46
2026-03-26,Vermont,VT,3.906,4.383,4.85,5.715
2026-03-26,Virginia,VA,3.888,4.359,4.738,5.473
2026-03-26,Washington,WA,5.3,5.561,5.805,6.527
